0	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r1	 	1	2	3	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	50	41	 
39	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	51	41	 
40	 	 	s52	 	 	 	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	r32	r32	 	r32	 	 	 	 	 	 	 	 	r32	r32	r32	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	r33	r33	s37	r33	 	 	 	 	 	 	 	 	r33	r33	r33	r33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	r34	r34	 	r34	 	 	 	 	 	 	 	 	r34	r34	r34	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	57	41	 
45	r24	r24	 	 	 	 	 	r24	 	r24	r24	r24	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	s21	 	r11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	58	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	s59	 	 	 	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	 	 	s60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
